"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03622V04362","Country","C02293V02763","Direction","UNIT","VALUE"
"ASA03","Air and Sea Travel","2013","2013","AE","United Arab Emirates","2","Departures","Thousand","252.1"
"ASA03","Air and Sea Travel","2013","2013","AT","Austria","1","Arrivals","Thousand","63.7"
"ASA03","Air and Sea Travel","2013","2013","AT","Austria","2","Departures","Thousand","63.3"
"ASA03","Air and Sea Travel","2013","2013","BE","Belgium","1","Arrivals","Thousand","211.1"
"ASA03","Air and Sea Travel","2013","2013","BE","Belgium","2","Departures","Thousand","211.5"
"ASA03","Air and Sea Travel","2013","2013","BG","Bulgaria","1","Arrivals","Thousand","14.2"
"ASA03","Air and Sea Travel","2013","2013","BG","Bulgaria","2","Departures","Thousand","14.2"
"ASA03","Air and Sea Travel","2013","2013","CA","Canada","1","Arrivals","Thousand","54.6"
"ASA03","Air and Sea Travel","2013","2013","CA","Canada","2","Departures","Thousand","55.9"
"ASA03","Air and Sea Travel","2013","2013","CH","Switzerland","1","Arrivals","Thousand","159.9"
"ASA03","Air and Sea Travel","2013","2013","CH","Switzerland","2","Departures","Thousand","160.4"
"ASA03","Air and Sea Travel","2013","2013","CY","Cyprus","1","Arrivals","Thousand","3.5"
"ASA03","Air and Sea Travel","2013","2013","CY","Cyprus","2","Departures","Thousand","3.5"
"ASA03","Air and Sea Travel","2013","2013","CZ","Czech Republic","1","Arrivals","Thousand","52.7"
"ASA03","Air and Sea Travel","2013","2013","CZ","Czech Republic","2","Departures","Thousand","53.5"
"ASA03","Air and Sea Travel","2013","2013","DE","Germany","1","Arrivals","Thousand","752.9"
"ASA03","Air and Sea Travel","2013","2013","DE","Germany","2","Departures","Thousand","751.2"
"ASA03","Air and Sea Travel","2013","2013","DK","Denmark","1","Arrivals","Thousand","127.8"
"ASA03","Air and Sea Travel","2013","2013","DK","Denmark","2","Departures","Thousand","124.9"
"ASA03","Air and Sea Travel","2013","2013","EE","Estonia","1","Arrivals","Thousand","10.8"
"ASA03","Air and Sea Travel","2013","2013","EE","Estonia","2","Departures","Thousand","10.8"
"ASA03","Air and Sea Travel","2013","2013","ES","Spain","1","Arrivals","Thousand","1523.5"
"ASA03","Air and Sea Travel","2013","2013","ES","Spain","2","Departures","Thousand","1515.6"
"ASA03","Air and Sea Travel","2013","2013","FI","Finland","1","Arrivals","Thousand","18.4"
"ASA03","Air and Sea Travel","2013","2013","FI","Finland","2","Departures","Thousand","18.2"
"ASA03","Air and Sea Travel","2013","2013","FR","France","1","Arrivals","Thousand","947"
"ASA03","Air and Sea Travel","2013","2013","FR","France","2","Departures","Thousand","952.9"
"ASA03","Air and Sea Travel","2013","2013","GB99","Other UK (1)","1","Arrivals","Thousand","28.3"
"ASA03","Air and Sea Travel","2013","2013","GB99","Other UK (1)","2","Departures","Thousand","28.2"
"ASA03","Air and Sea Travel","2013","2013","GR","Greece","1","Arrivals","Thousand","28.5"
"ASA03","Air and Sea Travel","2013","2013","GR","Greece","2","Departures","Thousand","28.4"
"ASA03","Air and Sea Travel","2013","2013","HR","Croatia","1","Arrivals","Thousand","39.9"
"ASA03","Air and Sea Travel","2013","2013","HR","Croatia","2","Departures","Thousand","38.9"
"ASA03","Air and Sea Travel","2013","2013","HU","Hungary","1","Arrivals","Thousand","83.4"
"ASA03","Air and Sea Travel","2013","2013","HU","Hungary","2","Departures","Thousand","80"
"ASA03","Air and Sea Travel","2013","2013","IS","Iceland","1","Arrivals","Thousand","3.6"
"ASA03","Air and Sea Travel","2013","2013","IS","Iceland","2","Departures","Thousand","3.5"
"ASA03","Air and Sea Travel","2013","2013","IT","Italy","1","Arrivals","Thousand","486.6"
"ASA03","Air and Sea Travel","2013","2013","IT","Italy","2","Departures","Thousand","478.9"
"ASA03","Air and Sea Travel","2013","2013","LT","Lithuania","1","Arrivals","Thousand","83.5"
"ASA03","Air and Sea Travel","2013","2013","LT","Lithuania","2","Departures","Thousand","83.4"
"ASA03","Air and Sea Travel","2013","2013","LU","Luxembourg","1","Arrivals","Thousand","0"
"ASA03","Air and Sea Travel","2013","2013","LU","Luxembourg","2","Departures","Thousand","0.1"
"ASA03","Air and Sea Travel","2013","2013","LV","Latvia","1","Arrivals","Thousand","53.5"
"ASA03","Air and Sea Travel","2013","2013","LV","Latvia","2","Departures","Thousand","54.3"
